,,,,,,,,Playing Time,Playing Time,Playing Time,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
138,Aaron Ramsdale,eng ENG,GK,Newcastle,eng Premier League,27,1998,12,11,1004,11.2,17,1.52,41,24,58.5,4,2,5,1,9.1,3,3,0,0,0,,
139,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25,1999,17,16,1470,16.3,29,1.78,81,52,64.2,4,3,9,2,12.5,2,2,0,0,0,,
140,David Raya,es ESP,GK,Arsenal,eng Premier League,29,1995,37,37,3330,37,26,0.7,86,59,69.8,25,7,5,19,51.4,0,0,0,0,,,
141,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30,1995,37,37,3330,37,60,1.62,159,99,62.3,11,12,14,3,8.1,5,5,0,0,0,,
142,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20,2005,33,33,2939,32.7,45,1.38,129,84,65.1,12,8,13,9,27.3,5,5,0,0,0,,
143,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24,2001,4,3,292,3.2,12,3.7,27,15,55.6,0,0,3,0,0,1,1,0,0,0,,
144,Filippo Rinaldi,it ITA,GK,Parma,it Serie A,22,2002,1,1,90,1,0,0,4,4,100,0,1,0,1,100,0,0,0,0,,,
145,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20,2004,33,33,2970,33,35,1.06,111,76,68.5,21,4,8,11,33.3,6,3,2,1,40,,
146,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22,2003,35,35,3150,35,46,1.31,154,108,70.1,12,12,11,10,28.6,3,2,1,0,33.3,,
147,Leo Román,es ESP,GK,Mallorca,es La Liga,25,2000,33,33,2970,33,50,1.52,149,99,66.4,10,7,16,4,12.1,8,6,1,1,14.3,,
148,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33,1992,29,29,2610,29,34,1.17,110,76,69.1,15,5,9,8,27.6,6,5,0,1,0,,
149,Mathew Ryan,au AUS,GK,Levante,es La Liga,33,1992,36,36,3240,36,56,1.56,180,124,68.9,11,9,16,9,25,4,3,1,0,25,,
150,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32,1992,30,30,2640,29.3,54,1.84,131,75,58.8,7,8,15,5,16.7,6,6,0,0,0,,
151,José Sá,pt POR,GK,Wolves,eng Premier League,32,1993,23,23,2070,23,37,1.61,102,65,63.7,3,8,12,4,17.4,3,3,0,0,0,,
152,Matvei Safonov,ru RUS,GK,PSG,fr Ligue 1,26,1999,15,15,1350,15,14,0.93,54,40,74.1,11,0,4,8,53.3,1,0,1,0,100,,
153,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31,1994,32,32,2880,32,44,1.37,129,84,65.9,17,8,7,10,31.3,6,4,2,0,33.3,,
154,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27,1997,35,35,3039,33.8,49,1.45,147,97,66.7,13,8,14,9,25.7,2,2,0,0,0,,
155,Kauã Santos,br BRA,GK,Frankfurt,de Bundesliga,22,2003,13,13,1084,12,32,2.66,69,37,53.6,3,4,6,2,15.4,1,1,0,0,0,,
156,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23,2002,7,6,620,6.9,14,2.03,28,14,50,2,2,2,1,16.7,0,0,0,0,,,
157,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30,1995,34,34,3060,34,63,1.85,155,92,59.4,7,11,16,3,8.8,7,5,2,0,28.6,,
158,Simone Scuffet,it ITA,GK,Pisa,it Serie A,29,1996,7,7,630,7,15,2.14,29,14,48.3,0,3,4,1,14.3,3,3,0,0,0,,
159,Matz Sels,be BEL,GK,Nottingham,eng Premier League,33,1992,31,30,2668,29.6,39,1.32,132,93,70.5,10,10,10,7,23.3,5,4,1,0,20,,
160,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27,1998,25,25,2250,25,42,1.68,124,82,66.1,1,9,15,4,16,2,2,0,0,0,,
161,Mathys Silestrie,fr FRA,GK,Rennes,fr Ligue 1,19,2005,2,2,180,2,6,3,14,8,57.1,0,0,2,0,0,0,0,0,0,,,
162,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34,1991,4,4,360,4,7,1.75,22,15,68.2,0,3,1,0,0,0,0,0,0,,,
163,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28,1997,37,37,3330,37,54,1.46,151,97,64.2,13,6,18,6,16.2,6,3,2,1,40,,
164,Antonio Sivera,es ESP,GK,Alavés,es La Liga,28,1996,38,38,3420,38,56,1.47,153,97,63.4,11,10,17,5,13.2,5,5,0,0,0,,
165,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34,1991,19,19,1592,17.7,18,1.02,51,33,64.7,10,4,5,8,42.1,2,2,0,0,0,,
166,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,28,1997,2,1,176,2,4,2.05,12,8,66.7,0,0,1,0,0,0,0,0,0,,,
167,Yann Sommer,ch SUI,GK,Inter,it Serie A,36,1988,33,33,2960,32.9,30,0.91,95,64,68.4,23,5,5,15,45.5,4,4,0,0,0,,
168,David Soria,es ESP,GK,Getafe,es La Liga,32,1993,38,38,3420,38,38,1,154,115,75.3,15,6,17,12,31.6,4,1,2,1,66.7,,
169,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,33,1992,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,,
170,Zion Suzuki,jp JPN,GK,Parma,it Serie A,22,2002,20,20,1800,20,28,1.4,93,65,69.9,3,7,10,5,25,3,2,1,0,33.3,,
171,Mile Svilar,rs SRB,GK,Roma,it Serie A,25,1999,38,38,3420,38,31,0.82,138,107,77.5,23,4,11,18,47.4,1,1,0,0,0,,
172,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35,1990,8,8,720,8,15,1.87,37,22,59.5,4,0,4,0,0,2,1,1,0,50,,
173,Sander Tangvik,no NOR,GK,Hamburger SV,de Bundesliga,22,2002,1,1,90,1,1,1,7,6,85.7,0,1,0,0,0,1,0,1,0,100,,
174,Arnau Tenas,es ESP,GK,Villarreal,es La Liga,24,2001,10,10,900,10,16,1.6,46,30,65.2,4,3,3,0,0,2,2,0,0,0,,
175,Marc-André ter Stegen,de GER,GK,Girona,es La Liga,33,1992,2,2,180,2,2,1,6,4,66.7,0,1,1,0,0,0,0,0,0,,,
176,Pietro Terracciano,it ITA,GK,Milan,it Serie A,35,1990,2,1,125,1.4,0,0,4,4,100,1,0,0,2,200,0,0,0,0,,,
