,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
2079,Adrià Pedrosa,es ESP,DFMF,Sevilla,es La Liga,27,1998,0.1,0,0,0,,0,0,,,0,0,,
2080,Dženan Pejčinović,de GER,FW,Wolfsburg,de Bundesliga,20,2005,16.2,8,51,23,45.1,3.14,1.42,0.16,0.35,0,0,,
2081,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,29,1996,16.3,4,32,12,37.5,1.97,0.74,0.06,0.17,2,2,,
2082,Luca Pellegrini,it ITA,DF,Lazio,it Serie A,26,1999,16.3,1,7,5,71.4,0.43,0.31,0.14,0.2,0,0,,
2083,Mateo Pellegrino,ar ARG,FW,Parma,it Serie A,24,2001,33.2,9,73,22,30.1,2.2,0.66,0.11,0.36,1,1,,
2084,Timothee Pembele,fr FRA,MFDF,Le Havre,fr Ligue 1,22,2002,4.2,0,4,2,50,0.94,0.47,0,0,0,0,,
2085,Faris Pemi Moumbagna,cm CMR,FW,Cremonese,it Serie A,25,2000,1,0,2,0,0,1.94,0,0,,0,0,,
2086,Iñaki Peña,es ESP,GK,Elche,es La Liga,26,1999,16,0,0,0,,0,0,,,0,0,,
2087,Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20,2005,33,0,0,0,,0,0,,,0,0,,
2088,Nicolas Pépé,ci CIV,MFFW,Villarreal,es La Liga,30,1995,26.6,8,63,25,39.7,2.37,0.94,0.11,0.28,1,1,,
2089,Kojo Peprah Oppong,gh GHA,DF,Nice,fr Ligue 1,21,2004,26.9,1,10,3,30,0.37,0.11,0.1,0.33,0,0,,
2090,Peque,es ESP,MFFW,Sevilla,es La Liga,22,2002,10.9,2,15,6,40,1.37,0.55,0.13,0.33,0,0,,
2091,Everton Pereira,fr FRA,MF,Nice,fr Ligue 1,18,2007,1.5,0,2,0,0,1.33,0,0,,0,0,,
2092,Mathias Pereira Lage,pt POR,MFFW,St Pauli,de Bundesliga,28,1996,22.4,2,43,15,34.9,1.92,0.67,0.05,0.13,0,0,,
2093,Ángel Pérez,es ESP,MFDF,Alavés,es La Liga,22,2002,14.3,1,14,4,28.6,0.98,0.28,0.07,0.25,0,0,,
2094,Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,32,1993,12.5,5,24,11,45.8,1.92,0.88,0.17,0.36,1,1,,
2095,Francisco Perez,es ESP,MFFW,Rayo Vallecano,es La Liga,22,2002,13.7,2,17,8,47.1,1.24,0.58,0.12,0.25,0,0,,
2096,Joselu Pérez,es ESP,DF,Getafe,es La Liga,21,2004,0.2,0,1,0,0,4.09,0,0,,0,0,,
2097,Matías Pérez,cl CHI,DF,Lecce,it Serie A,20,2005,0.3,0,0,0,,0,0,,,0,0,,
2098,Nacho Pérez,es ESP,DF,Levante,es La Liga,16,2008,1.6,0,0,0,,0,0,,,0,0,,
2099,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30,1995,3,0,0,0,,0,0,,,0,0,,
2100,Mattia Perin,it ITA,GK,Juventus,it Serie A,32,1992,8.5,0,0,0,,0,0,,,0,0,,
2101,Romain Perraud,fr FRA,DF,Lille,fr Ligue 1,27,1997,24.9,3,33,12,36.4,1.33,0.48,0.09,0.25,0,0,,
2102,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27,1997,16,0,0,0,,0,0,,,0,0,,
2103,Gaëtan Perrin,fr FRA,MFFW,Lille,fr Ligue 1,29,1996,3.8,1,7,4,57.1,1.86,1.07,0.14,0.25,0,0,,
2104,Máximo Perrone,ar ARG,MF,Como,it Serie A,22,2003,30.5,3,18,9,50,0.59,0.3,0.17,0.33,0,0,,
2105,Massimo Pessina,it ITA,GK,Bologna,it Serie A,17,2007,3.9,0,0,0,,0,0,,,0,0,,
2106,Prosper Peter,ng NGA,FW,Angers,fr Ligue 1,17,2007,14.1,5,23,14,60.9,1.63,0.99,0.22,0.36,0,0,,
2107,Léo Pétrot,fr FRA,DF,Elche,es La Liga,28,1997,17.5,0,8,0,0,0.46,0,0,,0,0,,
2108,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,25,1999,38,0,0,0,,0,0,,,0,0,,
2109,Giuseppe Pezzella,it ITA,MFDF,Cremonese,it Serie A,27,1997,28.7,0,6,0,0,0.21,0,0,,0,0,,
2110,Immanuel Pherai,sr SUR,FWMF,Hamburger SV,de Bundesliga,24,2001,0.4,0,1,0,0,2.57,0,0,,0,0,,
2111,Maximilian Philipp,de GER,FWMF,Freiburg,de Bundesliga,31,1994,0.3,0,0,0,,0,0,,,0,0,,
2112,Rayan Philippe,fr FRA,FWMF,Hamburger SV,de Bundesliga,24,2000,14.3,5,39,16,41,2.73,1.12,0.13,0.31,0,1,,
2113,Gabriele Piccinini,it ITA,MF,Pisa,it Serie A,24,2001,9.7,0,19,7,36.8,1.95,0.72,0,0,0,0,,
2114,Roberto Piccoli,it ITA,FW,Fiorentina,it Serie A,24,2001,18.6,4,47,15,31.9,2.53,0.81,0.09,0.27,0,0,,
2115,Charles Pickel,cd COD,MF,Espanyol,es La Liga,28,1997,7.9,1,10,4,40,1.27,0.51,0.1,0.25,0,0,,
2116,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31,1994,38,0,0,0,,0,0,,,0,0,,
2117,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,27,1998,16.7,0,8,2,25,0.48,0.12,0,0,0,0,,
2118,Marvin Pieringer,de GER,FWMF,Heidenheim,de Bundesliga,25,1999,18.3,4,32,8,25,1.75,0.44,0.09,0.38,1,1,,
2119,Nicholas Pierini,it ITA,FWMF,Sassuolo,it Serie A,26,1998,1.6,0,5,2,40,3.17,1.27,0,0,0,0,,
2120,Santiago Pierotti,ar ARG,MFFW,Lecce,it Serie A,24,2001,28.9,1,33,8,24.2,1.14,0.28,0.03,0.13,0,0,,
2121,Balthazar Pierret,fr FRA,MF,Lecce,it Serie A,25,2000,0.3,0,0,0,,0,0,,,0,0,,
2122,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,26,1999,28.4,9,73,30,41.1,2.57,1.06,0.12,0.3,0,1,,
2123,Thiago Pinar,es ESP,MF,Real Madrid,es La Liga,17,2007,6.6,0,6,2,33.3,0.91,0.3,0,0,0,0,,
2124,Lander Pinillos,es ESP,MF,Alavés,es La Liga,21,2003,0,0,0,0,,0,0,,,0,0,,
2125,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,32,1993,3.5,0,1,1,100,0.28,0.28,0,0,0,0,,
2126,Yéremy Pino,es ESP,MF,Villarreal,es La Liga,22,2002,1.8,0,2,1,50,1.13,0.57,0,0,0,0,,
2127,Yéremy Pino,es ESP,MFFW,Crystal Palace,eng Premier League,22,2002,23.1,2,45,11,24.4,1.95,0.48,0.04,0.18,0,0,,
2128,Jakub Piotrowski,pl POL,MF,Udinese,it Serie A,27,1997,18.8,1,36,9,25,1.91,0.48,0.03,0.11,0,0,,
2129,Joël Piroe,sr SUR,FW,Leeds United,eng Premier League,25,1999,2.9,0,14,3,21.4,4.88,1.05,0,0,0,0,,
2130,Niccolò Pisilli,it ITA,MF,Roma,it Serie A,20,2004,14.4,2,19,5,26.3,1.32,0.35,0.11,0.4,0,0,,
2131,Damián Pizarro,cl CHI,FW,Le Havre,fr Ligue 1,20,2005,0.3,0,0,0,,0,0,,,0,0,,
2132,Tommaso Pobega,it ITA,MF,Bologna,it Serie A,26,1999,15.9,3,25,10,40,1.57,0.63,0.12,0.3,0,0,,
2133,Paul Pogba,fr FRA,MF,Monaco,fr Ligue 1,32,1993,1.3,0,2,0,0,1.51,0,0,,0,0,,
2134,Ernest Poku,nl NED,MF,Leverkusen,de Bundesliga,21,2004,16.5,5,27,9,33.3,1.64,0.55,0.19,0.56,0,0,,
2135,Matteo Politano,it ITA,MFFW,Napoli,it Serie A,31,1993,24.4,2,49,13,26.5,2,0.53,0.04,0.15,0,0,,
2136,Oumar Pona,fr FRA,GK,Angers,fr Ligue 1,19,2006,2,0,0,0,,0,0,,,0,0,,
2137,Marin Pongračić,hr CRO,DF,Fiorentina,it Serie A,27,1997,32.4,0,8,1,12.5,0.25,0.03,0,0,0,0,,
2138,Nick Pope,eng ENG,GK,Newcastle,eng Premier League,33,1992,26.8,0,1,1,100,0.04,0.04,0,0,0,0,,
2139,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,25,1999,31.1,1,32,8,25,1.03,0.26,0.03,0.13,0,0,,
2140,Portu,es ESP,FWMF,Girona,es La Liga,33,1992,5.3,0,9,5,55.6,1.71,0.95,0,0,0,0,,
2141,Stefan Posch,at AUT,DF,Como,it Serie A,28,1997,4.4,1,8,3,37.5,1.83,0.69,0.13,0.33,0,0,,
2142,Stefan Posch,at AUT,DF,Mainz 05,de Bundesliga,28,1997,15.5,0,11,3,27.3,0.71,0.19,0,0,0,0,,
2143,Freddie Potts,eng ENG,MF,West Ham,eng Premier League,21,2003,13,0,3,1,33.3,0.23,0.08,0,0,0,0,,
2144,Kacper Potulski,pl POL,DF,Mainz 05,de Bundesliga,17,2007,11.8,1,14,5,35.7,1.18,0.42,0.07,0.2,0,0,,
2145,Yussuf Poulsen,dk DEN,FW,Hamburger SV,de Bundesliga,31,1994,3.7,1,7,3,42.9,1.89,0.81,0.14,0.33,0,0,,
2146,Beñat Prados,es ESP,MF,Athletic Club,es La Liga,24,2001,0.9,0,1,0,0,1.06,0,0,,0,0,,
2147,Alexander Prass,at AUT,MF,Hoffenheim,de Bundesliga,24,2001,14.5,3,18,11,61.1,1.24,0.76,0.17,0.27,0,0,,
2148,Matteo Prati,it ITA,MF,Torino,it Serie A,21,2003,6.8,0,12,0,0,1.76,0,0,,0,0,,
2149,Matteo Prati,it ITA,MF,Cagliari,it Serie A,21,2003,14.1,1,19,1,5.3,1.35,0.07,0.05,1,0,0,,
2150,Abdón Prats,es ESP,FW,Mallorca,es La Liga,32,1992,1.6,0,5,2,40,3.15,1.26,0,0,0,0,,
2151,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,30,1995,19.5,7,43,14,32.6,2.2,0.72,0.16,0.5,0,0,,
2152,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31,1994,27,0,0,0,,0,0,,,0,0,,
2153,Adrian Przyborek,pl POL,MF,Lazio,it Serie A,18,2007,0.1,0,1,0,0,10,0,0,,0,0,,
2154,Javi Puado,es ESP,MFFW,Espanyol,es La Liga,27,1998,7.5,2,15,9,60,2,1.2,0.07,0.11,1,2,,
2155,Marc Pubill,es ESP,DF,Atlético Madrid,es La Liga,22,2003,15.3,1,11,4,36.4,0.72,0.26,0.09,0.25,0,0,,
2156,Cameron Puertas,ch SUI,MF,Werder Bremen,de Bundesliga,26,1998,20.5,1,37,8,21.6,1.8,0.39,0.03,0.13,0,0,,
2157,Christian Pulisic,us USA,FW,Milan,it Serie A,26,1998,17.9,8,54,25,46.3,3.02,1.4,0.15,0.32,0,1,,
2158,Aleksa Puric,rs SRB,DF,Atlético Madrid,es La Liga,22,2003,0.5,0,0,0,,0,0,,,0,0,,
2159,Arkadiusz Pyrka,pl POL,MF,St Pauli,de Bundesliga,22,2002,28.6,0,19,3,15.8,0.66,0.1,0,0,0,0,,
2160,Jarell Quansah,eng ENG,DF,Leverkusen,de Bundesliga,22,2003,25.5,4,18,8,44.4,0.7,0.31,0.22,0.5,0,0,,
2161,Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,21,2003,30.1,3,29,10,34.5,0.96,0.33,0.03,0.1,2,3,,
2162,Kenny Quetant,fr FRA,FW,Le Havre,fr Ligue 1,19,2006,4.1,1,8,2,25,1.94,0.48,0.13,0.5,0,0,,
2163,Matheo Raab,de GER,GK,Union Berlin,de Bundesliga,26,1998,1,0,0,0,,0,0,,,0,0,,
2164,Dani Raba,es ESP,FW,Valencia,es La Liga,29,1995,3,0,9,1,11.1,3,0.33,0,0,0,0,,
2165,Adrien Rabiot,fr FRA,MF,Marseille,fr Ligue 1,30,1995,1,0,1,0,0,1,0,0,,0,0,,
2166,Adrien Rabiot,fr FRA,MF,Milan,it Serie A,30,1995,28.3,6,46,12,26.1,1.62,0.42,0.13,0.5,0,0,,
2167,Uroš Radaković,rs SRB,DF,Nantes,fr Ligue 1,31,1994,1.1,0,1,0,0,0.89,0,0,,0,0,,
2168,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28,1997,38,0,0,0,,0,0,,,0,0,,
2169,Ugo Raghouber,fr FRA,MF,Levante,es La Liga,22,2003,7.8,0,3,0,0,0.38,0,0,,0,0,,
2170,Ugo Raghouber,fr FRA,MF,Lille,fr Ligue 1,22,2003,0,0,0,0,,0,0,,,0,0,,
2171,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,33,1991,23,0,12,1,8.3,0.52,0.04,0,0,0,0,,
2172,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,29,1996,35.6,1,34,5,14.7,0.96,0.14,0.03,0.2,0,0,,
2173,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,23,2001,31,0,0,0,,0,0,,,0,0,,
2174,Largie Ramazani,be BEL,MFFW,Valencia,es La Liga,24,2001,13.7,6,51,19,37.3,3.72,1.39,0.06,0.16,3,3,,
2175,Jacobo Ramón,es ESP,DF,Como,it Serie A,20,2005,30.5,2,39,9,23.1,1.28,0.3,0.05,0.22,0,0,,
2176,Gonçalo Ramos,pt POR,FW,PSG,fr Ligue 1,24,2001,14.6,6,58,25,43.1,3.96,1.71,0.09,0.2,1,2,,
2177,Guilherme Ramos,pt POR,DF,Hamburger SV,de Bundesliga,27,1997,0.5,0,1,1,100,1.87,1.87,0,0,0,0,,
2178,Aaron Ramsdale,eng ENG,GK,Newcastle,eng Premier League,27,1998,11.2,0,0,0,,0,0,,,0,0,,
2179,Jacob Ramsey,eng ENG,MF,Newcastle,eng Premier League,24,2001,16.1,2,16,4,25,0.99,0.25,0.13,0.5,0,0,,
2180,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,26,1999,27.3,1,18,3,16.7,0.66,0.11,0.06,0.33,0,0,,
2181,Grant Ranos,am ARM,FW,Gladbach,de Bundesliga,22,2003,1.3,1,4,2,50,3.03,1.51,0.25,0.5,0,0,,
2182,Lilian Raolisoa,fr FRA,MFDF,Angers,fr Ligue 1,25,2000,21.8,2,16,5,31.3,0.73,0.23,0.13,0.4,0,0,,
2183,Raphinha,br BRA,MFFW,Barcelona,es La Liga,28,1996,15.3,13,65,24,36.9,4.24,1.57,0.15,0.42,3,3,,
2184,Marcus Rashford,eng ENG,MFFW,Barcelona,es La Liga,27,1997,19.6,8,76,29,38.2,3.88,1.48,0.11,0.28,0,0,,
2185,Mathias Rasmussen,no NOR,MF,St Pauli,de Bundesliga,27,1997,7.7,0,6,2,33.3,0.78,0.26,0,0,0,0,,
2186,Giacomo Raspadori,it ITA,MFFW,Atalanta,it Serie A,25,2000,8.8,3,28,11,39.3,3.17,1.24,0.11,0.27,0,0,,
2187,Giacomo Raspadori,it ITA,FW,Atlético Madrid,es La Liga,25,2000,2.6,0,7,3,42.9,2.67,1.14,0,0,0,0,,
2188,Othniel Raterink,nl NED,DF,Cagliari,it Serie A,19,2006,0.1,0,0,0,,0,0,,,0,0,,
2189,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,27,1998,31.2,0,31,9,29,0.99,0.29,0,0,0,0,,
2190,Petar Ratkov,rs SRB,FW,Lazio,it Serie A,21,2003,2.6,0,6,1,16.7,2.32,0.39,0,0,0,0,,
2191,Raúl,es ESP,FW,Osasuna,es La Liga,24,2000,11.6,7,39,23,59,3.37,1.99,0.18,0.3,0,0,,
2192,David Raum,de GER,DF,RB Leipzig,de Bundesliga,27,1998,28.4,3,24,8,33.3,0.85,0.28,0.08,0.25,1,1,,
2193,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25,1999,16.3,0,0,0,,0,0,,,0,0,,
2194,David Raya,es ESP,GK,Arsenal,eng Premier League,29,1995,37,0,0,0,,0,0,,,0,0,,
2195,Rayan,br BRA,MF,Bournemouth,eng Premier League,18,2006,12.3,5,28,8,28.6,2.27,0.65,0.18,0.63,0,0,,
2196,Abde Rebbach,dz ALG,MFDF,Alavés,es La Liga,26,1998,16.6,1,34,12,35.3,2.05,0.72,0.03,0.08,0,0,,
2197,Federico Redondo,ar ARG,MF,Elche,es La Liga,22,2003,2,0,1,0,0,0.5,0,0,,0,0,,
2198,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,30,1995,1,1,2,1,50,1.91,0.96,0.5,1,0,0,,
2199,Luca Reggiani,it ITA,DF,Dortmund,de Bundesliga,17,2008,5.7,1,3,1,33.3,0.53,0.18,0.33,1,0,0,,
2200,Alejandro Rego,es ESP,MF,Athletic Club,es La Liga,22,2003,14.2,1,12,3,25,0.84,0.21,0.08,0.33,0,0,,
2201,Tijjani Reijnders,nl NED,MF,Manchester City,eng Premier League,27,1998,18.1,5,49,16,32.7,2.7,0.88,0.1,0.31,0,0,,
2202,Alberto Reina,es ESP,MF,Oviedo,es La Liga,27,1997,27.4,4,24,11,45.8,0.88,0.4,0.17,0.36,0,0,,
2203,Vitor Reis,br BRA,DF,Girona,es La Liga,19,2006,34.9,1,19,4,21.1,0.54,0.11,0.05,0.25,0,0,,
2204,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,23,2002,29.2,0,47,14,29.8,1.61,0.48,0,0,0,0,,
2205,Nicolai Remberg,de GER,MF,Hamburger SV,de Bundesliga,25,2000,32,0,17,8,47.1,0.53,0.25,0,0,0,0,,
2206,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30,1995,37,0,0,0,,0,0,,,0,0,,
2207,Devyne Rensch,nl NED,MF,Roma,it Serie A,22,2003,13.2,1,6,2,33.3,0.46,0.15,0.17,0.5,0,0,,
2208,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20,2005,32.7,0,0,0,,0,0,,,0,0,,
2209,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,de Bundesliga,27,1997,12.4,2,11,5,45.5,0.89,0.4,0.18,0.4,0,0,,
2210,Oriol Rey,es ESP,MF,Levante,es La Liga,27,1998,14.7,0,8,1,12.5,0.55,0.07,0,0,0,0,,
2211,Gio Reyna,us USA,MF,Gladbach,de Bundesliga,22,2002,5.8,1,7,2,28.6,1.21,0.35,0.14,0.5,0,0,,
2212,Chadi Riad,ma MAR,DF,Crystal Palace,eng Premier League,22,2003,6.1,0,4,2,50,0.65,0.33,0,0,0,0,,
2213,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,25,1999,5.7,0,7,2,28.6,1.24,0.35,0,0,0,0,,
2214,Rodrigo Ribeiro,pt POR,FW,Augsburg,de Bundesliga,20,2005,7.1,2,26,7,26.9,3.68,0.99,0.08,0.29,0,0,,
2215,Samuele Ricci,it ITA,MF,Milan,it Serie A,23,2001,14.6,1,18,6,33.3,1.23,0.41,0.06,0.17,0,0,,
2216,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,26,1999,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0,,
2217,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,25,2000,31.4,1,15,2,13.3,0.48,0.06,0.07,0.5,0,0,,
2218,Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,23,2002,0.5,0,1,0,0,2.14,0,0,,0,0,,
2219,Richarlison,br BRA,FWMF,Tottenham,eng Premier League,28,1997,21.8,11,61,26,42.6,2.8,1.19,0.18,0.42,0,0,,
2220,Diego Rico,es ESP,DF,Getafe,es La Liga,32,1993,19.5,0,11,1,9.1,0.56,0.05,0,0,0,0,,
2221,Clemens Riedel,de GER,DF,Espanyol,es La Liga,22,2003,15.5,0,3,1,33.3,0.19,0.06,0,0,0,0,,
2222,Fabian Rieder,ch SUI,MF,Augsburg,de Bundesliga,23,2002,26,6,38,13,34.2,1.46,0.5,0.11,0.31,2,2,,
2223,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,23,2002,1.5,0,1,0,0,0.68,0,0,,0,0,,
2224,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24,2001,3.2,0,0,0,,0,0,,,0,0,,
2225,Chris Rigg,eng ENG,MF,Sunderland,eng Premier League,18,2007,8.5,1,12,3,25,1.42,0.35,0.08,0.33,0,0,,
2226,Filippo Rinaldi,it ITA,GK,Parma,it Serie A,22,2002,1,0,0,0,,0,0,,,0,0,,
2227,Hugo Rincón,es ESP,DF,Girona,es La Liga,22,2003,19.4,1,7,2,28.6,0.36,0.1,0.14,0.5,0,0,,
2228,Luis Rioja,es ESP,MF,Valencia,es La Liga,31,1993,29.2,3,44,5,11.4,1.51,0.17,0.07,0.6,0,0,,
2229,Rodrigo Riquelme,es ESP,MF,Real Betis,es La Liga,25,2000,9.1,1,24,7,29.2,2.63,0.77,0.04,0.14,0,0,,
2230,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20,2004,33,0,0,0,,0,0,,,0,0,,
2231,Mihailo Ristić,rs SRB,MFDF,Celta Vigo,es La Liga,29,1995,2.8,0,1,0,0,0.36,0,0,,0,0,,
2232,Lars Ritzka,de GER,MFDF,St Pauli,de Bundesliga,27,1998,10.7,0,4,1,25,0.37,0.09,0,0,0,0,,
2233,Sergi Roberto,es ESP,MF,Como,it Serie A,33,1992,6,0,7,2,28.6,1.16,0.33,0,0,0,0,,
2234,Patrick Roberts,eng ENG,FWMF,Sunderland,eng Premier League,28,1997,0.3,0,1,0,0,3.21,0,0,,0,0,,
2235,Andy Robertson,sct SCO,DF,Liverpool,eng Premier League,31,1994,13.1,1,10,3,30,0.77,0.23,0.1,0.33,0,0,,
2236,Antonee Robinson,us USA,DFMF,Fulham,eng Premier League,27,1997,16.6,1,6,1,16.7,0.36,0.06,0,0,1,1,,
2237,Joel Roca,es ESP,MFFW,Girona,es La Liga,20,2005,16.4,3,48,16,33.3,2.93,0.98,0.06,0.19,0,0,,
2238,Marc Roca,es ESP,MF,Real Betis,es La Liga,28,1996,22.5,1,17,7,41.2,0.76,0.31,0.06,0.14,0,0,,
2239,Ryan Rodin,fr FRA,MF,Auxerre,fr Ligue 1,19,2006,0.3,0,0,0,,0,0,,,0,0,,
2240,Kaden Rodney,eng ENG,DFMF,Crystal Palace,eng Premier League,20,2004,0,0,0,0,,0,0,,,0,0,,
2241,Joe Rodon,wls WAL,DF,Leeds United,eng Premier League,27,1997,32.8,2,18,7,38.9,0.55,0.21,0.11,0.29,0,0,,
2242,Rodri,es ESP,MF,Manchester City,eng Premier League,29,1996,16.8,1,16,3,18.8,0.95,0.18,0.06,0.33,0,0,,
2243,Álvaro Rodríguez,uy URU,FW,Elche,es La Liga,21,2004,24.5,7,75,24,32,3.07,0.98,0.09,0.29,0,0,,
2244,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,22,2003,1.7,0,3,0,0,1.8,0,0,,0,0,,
2245,Dani Rodríguez,es ESP,FWMF,Mallorca,es La Liga,37,1988,0.8,0,1,0,0,1.32,0,0,,0,0,,
2246,Guido Rodríguez,ar ARG,MF,West Ham,eng Premier League,31,1994,2,0,1,0,0,0.5,0,0,,0,0,,
2247,Guido Rodríguez,ar ARG,MF,Valencia,es La Liga,31,1994,14.5,4,15,5,33.3,1.03,0.34,0.27,0.8,0,0,,
2248,Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,22,2003,28.4,0,12,1,8.3,0.42,0.04,0,0,0,0,,
2249,Jesus Rodríguez,es ESP,MF,Como,it Serie A,19,2005,19.2,2,45,12,26.7,2.34,0.62,0.04,0.17,0,0,,
2250,Juan Rodríguez,uy URU,DF,Cagliari,it Serie A,20,2005,14.6,1,3,2,66.7,0.21,0.14,0.33,0.5,0,0,,
2251,Ricardo Rodríguez,ch SUI,DF,Real Betis,es La Liga,32,1992,17.2,0,3,0,0,0.17,0,0,,0,0,,
2252,Rodrygo,br BRA,MFFW,Real Madrid,es La Liga,24,2001,7.6,1,27,11,40.7,3.55,1.45,0.04,0.09,0,0,,
2253,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22,2003,35,0,0,0,,0,0,,,0,0,,
2254,Morgan Rogers,eng ENG,MF,Aston Villa,eng Premier League,23,2002,36.4,10,84,32,38.1,2.3,0.88,0.12,0.31,0,0,,
2255,Merlin Röhl,de GER,MF,Freiburg,de Bundesliga,23,2002,0.7,0,0,0,,0,0,,,0,0,,
2256,Merlin Röhl,de GER,MF,Everton,eng Premier League,23,2002,7.6,1,11,1,9.1,1.45,0.13,0.09,1,0,0,,
2257,Filippo Romagna,it ITA,DF,Sassuolo,it Serie A,28,1997,3.5,0,2,0,0,0.58,0,0,,0,0,,
2258,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,30,1995,29.6,0,9,4,44.4,0.3,0.14,0,0,0,0,,
2259,Leo Román,es ESP,GK,Mallorca,es La Liga,25,2000,33,0,0,0,,0,0,,,0,0,,
2260,Miguel Román,es ESP,MF,Celta Vigo,es La Liga,22,2002,14.6,1,9,2,22.2,0.62,0.14,0.11,0.5,0,0,,
2261,Alessandro Romano,ch SUI,MF,Roma,it Serie A,19,2006,0.1,0,0,0,,0,0,,,0,0,,
2262,Carlos Romero,es ESP,DF,Espanyol,es La Liga,23,2001,35.5,6,42,12,28.6,1.18,0.34,0.14,0.5,0,0,,
2263,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,27,1998,20.8,4,17,6,35.3,0.82,0.29,0.24,0.67,0,0,,
2264,Isaac Romero,es ESP,FWMF,Sevilla,es La Liga,25,2000,16.5,4,41,14,34.1,2.49,0.85,0.1,0.29,0,1,,
2265,Iván Romero,es ESP,FWMF,Levante,es La Liga,24,2001,25.1,7,59,18,30.5,2.35,0.72,0.12,0.39,0,1,,
2266,Zaid Romero,ar ARG,DF,Getafe,es La Liga,25,1999,15,1,10,2,20,0.67,0.13,0.1,0.5,0,0,,
2267,Rômulo,br BRA,FW,RB Leipzig,de Bundesliga,23,2002,24.3,9,63,27,42.9,2.59,1.11,0.14,0.33,0,1,,
2268,Salomón Rondón,ve VEN,FW,Oviedo,es La Liga,35,1989,11.5,2,24,5,20.8,2.09,0.44,0.08,0.4,0,1,,
2269,Valentin Rongier,fr FRA,MF,Rennes,fr Ligue 1,30,1994,30.5,2,22,10,45.5,0.72,0.33,0.09,0.2,0,0,,
2270,Marten de Roon,nl NED,MF,Atalanta,it Serie A,34,1991,29.9,1,16,4,25,0.54,0.13,0.06,0.25,0,0,,
2271,Pablo Rosario,do DOM,DFMF,Nice,fr Ligue 1,28,1997,0.3,0,2,1,50,6.43,3.21,0,0,0,0,,
2272,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,22,2003,5.5,0,1,0,0,0.18,0,0,,0,0,,
2273,Lucas Rosier,fr FRA,FW,Rennes,fr Ligue 1,18,2007,0,0,0,0,,0,0,,,0,0,,
2274,Valentin Rosier,fr FRA,DFMF,Osasuna,es La Liga,28,1996,28.3,1,19,3,15.8,0.67,0.11,0.05,0.33,0,0,,
2275,Tom Rothe,de GER,MFDF,Union Berlin,de Bundesliga,20,2004,11.4,2,19,5,26.3,1.66,0.44,0.11,0.4,0,0,,
2276,Anthony Rouault,fr FRA,DF,Rennes,fr Ligue 1,24,2001,19.2,1,9,3,33.3,0.47,0.16,0.11,0.33,0,0,,
2277,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,23,2001,5.7,0,1,0,0,0.18,0,0,,0,0,,
