Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper
18,Stuttgart,de GER,4,34,18,8,8,71,49,+22,62,1.82,59441,Deniz Undav - 19,Alexander Nübel
19,Atlético Madrid,es ESP,4,38,21,6,11,62,44,+18,69,1.82,60855,Alexander Sørloth - 13,Jan Oblak
20,Lille,fr FRA,3,34,18,7,9,52,37,+15,61,1.79,43092,Hákon Haraldsson Matias Fernandez-Pardo - 8,Berke Özer
21,Hoffenheim,de GER,5,34,18,7,9,65,52,+13,61,1.79,26697,Andrej Kramarić - 14,Oliver Baumann
22,Lyon,fr FRA,4,34,18,6,10,53,40,+13,60,1.76,49848,Corentin Tolisso Pavel Šulc - 11,Dominik Greif
23,Leverkusen,de GER,6,34,17,8,9,68,47,+21,59,1.74,30016,Patrik Schick - 16,Mark Flekken
24,Marseille,fr FRA,5,34,18,5,11,63,45,+18,59,1.74,62612,Mason Greenwood - 16,Gerónimo Rulli
25,Rennes,fr FRA,6,34,17,8,9,59,50,+9,59,1.74,27765,Esteban Lepaul - 20,Brice Samba
26,Aston Villa,eng ENG,4,38,19,8,11,56,49,+7,65,1.71,41992,Ollie Watkins - 16,Emiliano Martínez
27,Monaco,fr FRA,7,34,16,6,12,60,54,+6,54,1.59,8165,Folarin Balogun - 13,Philipp Köhn
28,Real Betis,es ESP,5,38,15,15,8,59,48,+11,60,1.58,57427,Cucho - 11,Álvaro Vallés
29,Liverpool,eng ENG,5,38,17,9,12,63,53,+10,60,1.58,60368,Hugo Ekitike - 11,Alisson
30,Strasbourg,fr FRA,8,34,15,8,11,58,47,+11,53,1.56,27803,Joaquín Panichelli - 16,Mike Penders
